,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
104,103_bias_sample_survey_respondent,103,"['bias', 'sample', 'survey', 'respondent', 'study', 'sampling', 'response', 'method', 'bias group', 'group']",2017,"Research priorities for managing the impacts and dependencies of business upon food, energy, water and the environment",12.0,"Green J.M.H., Cranston G.R., Sutherland W.J., Tranter H.R., Bell S.J., Benton T.G., Blixt E., Bowe C., Broadley S., Brown A., Brown C., Burns N., Butler D., Collins H., Crowley H., DeKoszmovszky J., Firbank L.G., Fulford B., Gardner T.A., Hails R.S., Halvorson S., Jack M., Kerrison B., Koh L.S.C., Lang S.C., McKenzie E.J., Monsivais P., O’Riordan T., Osborn J., Oswald S., Price Thomas E., Raffaelli D., Reyers B., Srai J.S., Strassburg B.B.N., Webster D., Welters R., Whiteman G., Wilsdon J., Vira B."
105,104_technology_industry_module_solar,104,"['technology', 'industry', 'module', 'solar', 'sector', 'market', 'investment', 'project', 'germany', 'chain']",2015,Dynamics of a policy-driven market: The co-evolution of technological innovation systems for solar photovoltaics in China and Germany,17,Quitzow R.
106,105_farm_farmer_land_crop,105,"['farm', 'farmer', 'land', 'crop', 'production', 'region', 'food', 'agriculture', 'study', 'woman']",2015,Regional agricultural governance in peri-urban and rural South Australia: strategies to improve multifunctionality,10.0,"Fielke S.J., Bardsley D.K."
107,106_nature_value_concept_relational,106,"['nature', 'value', 'concept', 'relational', 'relationship', 'human', 'instrumental', 'approach', 'understanding', 'relation']",2017,Sustainability science and the epistemic challenge: some matters philosophical and why we ought to come to know them better,12.0,"Bawden R., Allenby B."
108,107_fishery_fisher_bay_co management,107,"['fishery', 'fisher', 'bay', 'co management', 'tela', 'community', 'fishing', 'management', 'caribbean', 'dialogue']",2021,Transitioning to co-management in Caribbean reef fisheries: Tela Bay case study,16.0,"Rivera A., San Martin-Chicas J., Myton J."
109,108_company_cost_grid_industry,108,"['company', 'cost', 'grid', 'industry', 'gas', 'market', 'technology', 'energy', 'utility', 'solar']",2016,Creating protective space for innovation in electricity distribution networks in Great Britain: The politics of institutional change,18,Lockwood M.
110,109_carbon_emission_low_technology,109,"['carbon', 'emission', 'low', 'technology', 'target', 'reduction', 'policy', 'cost', 'scenario', 'energy']",2022,"Global tourism, climate change and energy sustainability: assessing carbon reduction mitigating measures from the aviation industry",,"Leal Filho W., Ng A.W., Sharifi A., Janová J., Özuyar P.G., Hemani C., Heyes G., Njau D., Rampasso I."
111,110_airline_aircraft_atp_shipowner,110,"['airline', 'aircraft', 'atp', 'shipowner', 'aviation', 'flight', 'gtf', 'rotor', 'profit', 'engine']",2013,Multi-level perspectives with technology readiness measures for aviation innovation,8.0,"Nakamura H., Kajikawa Y., Suzuki S."
112,111_city_urban_community_transition,111,"['city', 'urban', 'community', 'transition', 'development', 'housing', 'sustainability', 'local', 'infrastructure', 'municipality']",2020,The role of local government greening policies in the transition towards nature-based cities,35,Bush J.
113,112_actor_role_perspective_process,112,"['actor', 'role', 'perspective', 'process', 'merger', 'institution', 'crowd', 'pressure', 'institutional', 'understanding']",2017,Actor roles in transition: Insights from sociological perspectives,24,"Wittmayer J.M., Avelino F., van Steenbergen F., Loorbach D."
114,113_community_system_approach_management,113,"['community', 'system', 'approach', 'management', 'conservation', 'resource', 'ecological', 'based', 'landscape', 'environment']",2022,"Participatory interventions for collective action and sustainable resource management: linking actors, situations and contexts through the IAD, NAS and SES frameworks",,"Ortiz-Riomalo J.F., Koessler A.-K., Miranda-Montagut Y., Cardenas J.C."
115,114_transition_innovation_energy_policy,114,"['transition', 'innovation', 'energy', 'policy', 'approach', 'environmental', 'socio', 'technology', 'impact', 'sector']",2021,Digitalization as a driver of transformative environmental innovation,41,"Sareen S., Haarstad H."
116,115_problem_future_solution_sustainability,115,"['problem', 'future', 'solution', 'sustainability', 'change', 'process', 'understanding', 'research', 'challenge', 'society']",2019,Building new foundations: the future of education from a degrowth perspective,14.0,"Kaufmann N., Sanders C., Wortmann J."
117,116_impact_design_case_output,116,"['impact', 'design', 'case', 'output', 'project', 'intervention', 'method', 'data', 'sustainability', 'stakeholder']",2014,Learning from success - Toward evidence-informed sustainability transitions in communities,12,"Forrest N., Wiek A."
118,117_japan_capital_prefecture_iwi,117,"['japan', 'capital', 'prefecture', 'iwi', 'sado', 'scenario', 'population', 'wealth', 'ssps', 'region']",2020,Adapting global shared socio-economic pathways for national scenarios in Japan,15.0,"Chen H., Matsuhashi K., Takahashi K., Fujimori S., Honjo K., Gomi K."
119,118_dialogue_discourse_actor_debate,118,"['dialogue', 'discourse', 'actor', 'debate', 'transition', 'sustainability', 'knowledge', 'process', 'action', 'stakeholder']",2018,"Co-producing urban sustainability transitions knowledge with community, policy and science",29,"Frantzeskaki N., Rok A."
120,119_storm_cyclone_sheet_wind,119,"['storm', 'cyclone', 'sheet', 'wind', 'temperature', 'simulation', 'model', 'scenario', 'increase', 'speed']",2009,Effect of a global warming-induced increase in typhoon intensity on urban productivity in Taiwan,4.0,"Esteban M., Webersik C., Shibayama T."
121,120_external_firm_externality_company,120,"['external', 'firm', 'externality', 'company', 'innovation', 'cost', 'environment', 'resource', 'internal', 'customer']",2007,An introductory note on the environmental economics of the circular economy,2.0,Andersen M.S.
122,121_firm_clique_membership_member,121,"['firm', 'clique', 'membership', 'member', 'survey', 'ipo', 'guide', 'corporate', 'location', 'performance']",2001,Corporate social capital and strategic isomorphism: The case of the Israeli software industry,18,"Gabbay S.M., Talmud I., Raz O."
123,122_organization_external_firm_resource,122,"['organization', 'external', 'firm', 'resource', 'environment', 'organizational', 'process', 'innovation', 'industry', 'change']",2010,Chapter 27: Sense-making in organizational research,28,Sitkin S.B.
124,123_vulnerability_climate_change_exposure,123,"['vulnerability', 'climate', 'change', 'exposure', 'adaptation', 'risk', 'hazard', 'framework', 'resilience', 'ipcc']",2008,Climate change and coastal vulnerability assessment: Scenarios for integrated assessment,3.0,"Nicholls R.J., Wong P.P., Burkett V., Woodroffe C.D., Hay J."
125,124_process_context_change_niche,124,"['process', 'context', 'change', 'niche', 'actor', 'study', 'level', 'transition', 'failure', 'policy']",2016,From robustness to resilience: avoiding policy traps in the long term,11.0,"Nair S., Howlett M."
126,125_actor_routine_action_acceleration,125,"['actor', 'routine', 'action', 'acceleration', 'level', 'work', 'process', 'network', 'context', 'institution']",2020,TEMPORARY ORGANIZING AND ACCELERATION: ON THE PLURALITY OF TEMPORAL STRUCTURES IN ACCELERATORS,67,"Skade L., Stanske S., Wenzel M., Koch J."
127,126_organization_individual_form_action,126,"['organization', 'individual', 'form', 'action', 'time', 'process', 'organizational', 'way', 'institution', 'identity']",2014,Negative ties in organizational networks,40,Labianca G.
128,127_crop_area_forest_land,127,"['crop', 'area', 'forest', 'land', 'region', 'deforestation', 'production', 'soybean', 'drought', 'pollinator']",2015,"Mapping and characterizing ecosystem services of social–ecological production landscapes: case study of Noto, Japan",10.0,"Hashimoto S., Nakamura S., Saito O., Kohsaka R., Kamiyama C., Tomiyoshi M., Kishioka T."
129,128_delta_sediment_basin_area,128,"['delta', 'sediment', 'basin', 'area', 'river', 'ecosystem', 'level', 'coastal', 'erosion', 'water']",2016,A conceptual framework for analyzing deltas as coupled social–ecological systems: an example from the Amazon River Delta,11.0,"Brondizio E.S., Vogt N.D., Mansur A.V., Anthony E.J., Costa S., Hetrick S."
130,129_system_market_technology_transition,129,"['system', 'market', 'technology', 'transition', 'policy', 'user', 'level', 'actor', 'cost', 'innovation']",2021,Justice aspects of flexible household electricity consumption in future smart energy systems,38,"Fjellså I.F., Silvast A., Skjølsvold T.M."
131,130_technology_transition_country_market,130,"['technology', 'transition', 'country', 'market', 'system', 'study', 'coal', 'uk', 'energy', 'level']",2017,Unpacking sustainabilities in diverse transition contexts: solar photovoltaic and urban mobility experiments in India and Thailand,12.0,"Raven R., Ghosh B., Wieczorek A., Stirling A., Ghosh D., Jolly S., Karjangtimapron E., Prabudhanitisarn S., Roy J., Sangawongse S., Sengers F."
132,131_waste_material_recycling_landfill,131,"['waste', 'material', 'recycling', 'landfill', 'minamata', 'recovery', 'process', 'plant', 'resource', 'product']",2012,Transforming dumps into gold mines. Experiences from Swedish case studies,5,"Johansson N., Krook J., Eklund M."
133,132_transition_system_market_technology,132,"['transition', 'system', 'market', 'technology', 'innovation', 'niche', 'change', 'actor', 'material', 'context']",2020,Making sustainability transitions research policy-relevant: Challenges at the science-policy interface,34,"Turnheim B., Asquith M., Geels F.W."
134,133_actor_organization_logic_field,133,"['actor', 'organization', 'logic', 'field', 'tension', 'meaning', 'process', 'institutional', 'practice', 'paradox']",2019,The claim for actorhood in institutional work,58,"Migdal-Picker M., Zilber T.B."
135,134_city_urban_environment_ri city,134,"['city', 'urban', 'environment', 'ri city', 'sustainable', 'development', 'project', 'ri', 'sustainability', 'innovation']",2021,Setting ‘poverty thresholds’: whose experience counts?,16.0,Carr S.C.
136,135_variable_model_score_regression,135,"['variable', 'model', 'score', 'regression', 'correlation', 'effect', 'group', 'high', 'status', 'broker']",2017,"Sharing for people, planet or profit? Analysing motivations for intended sharing economy participation",23,"Böcker L., Meelen T."
137,136_woman_child_family_migration,136,"['woman', 'child', 'family', 'migration', 'maldives', 'gender', 'household', 'respondent', 'male', 'factor']",2022,The role of perceptions and social norms in shaping women’s fertility preferences: a case study from Ethiopia,,"Rodrigues P., Manlosa A.O., Fischer J., Schultner J., Hanspach J., Senbeta F., Dorresteijn I."
138,137_game_approach_process_change,137,"['game', 'approach', 'process', 'change', 'level', 'problem', 'actor', 'transition', 'dynamic', 'setting']",2020,The inner dimension of sustainability transformation: how sense of place and values can support sustainable place-shaping,15.0,"Grenni S., Soini K., Horlings L.G."
